ID,Class,PC1,PC2,PC3,PC4,PC5
372,Low,0.618036,-0.272645,-1.764011,-1.063413,-0.465874
373,Low,-2.016583,0.022946,-0.003926,1.330811,-1.261241
374,Medium,0.538708,-0.334227,0.299674,0.478548,1.277272
375,Low,0.722054,-0.883769,0.236176,-0.200490,-2.327563
376,Medium,1.070360,0.766617,-0.299588,0.665631,-0.867791
377,Low,0.622764,-0.537739,-0.792690,-0.703640,-0.077505
378,Medium,0.748322,-0.213410,0.066517,0.433244,0.849953
379,Low,-0.545609,0.117371,0.226254,0.658702,-0.166130
380,Medium,0.136817,0.522050,0.128031,-0.177038,0.759070
381,Medium,0.775640,-0.011070,0.449489,0.284537,-0.859888
382,Low,1.008369,0.380706,0.039729,0.629920,-0.192096
383,Low,-0.301323,0.163704,0.042705,-0.286836,0.079423
384,Low,0.510865,0.200653,0.258995,0.623524,-0.462487
385,Low,0.635372,-0.056817,-1.175662,-1.485014,0.522548
386,High,-0.230401,1.127309,0.960450,1.287638,0.187806
387,Medium,-0.631241,1.006492,1.026924,1.253527,0.279253
388,Low,0.659538,0.039954,0.521917,0.108115,0.966802
389,Low,0.732036,0.072798,-2.111265,-1.705675,-0.713121
390,Low,1.271043,-1.018662,0.288760,0.457762,-1.090200
391,Medium,-1.483355,0.855763,0.490168,0.212050,0.466099
392,Low,-0.295019,-1.055025,-0.983184,-1.550573,1.019864
393,Low,-0.687453,-0.679084,-0.427577,-0.371582,0.632059
394,Low,-0.329166,-2.212758,-0.763917,-1.447704,-1.024155
395,Low,-0.001875,-0.138339,0.668756,0.040425,0.135872
396,Low,0.593870,-1.689608,-1.304642,-1.741386,-1.104312
397,Medium,0.546063,0.905029,-0.442459,-0.027266,-0.750377
398,High,-0.303424,0.975408,0.478262,1.309491,1.187518
399,Low,0.889115,0.096257,-3.365350,-1.678492,0.153372
400,Low,0.554994,-1.844442,-1.495136,-0.990925,-0.007508
401,Low,0.549740,1.030538,-0.047581,-0.821432,1.775716
402,High,-2.347026,1.391816,0.931677,0.986495,1.252434
403,Medium,1.049346,0.905029,0.807658,0.842053,-0.120971
404,Low,0.873354,0.361351,0.253042,0.151288,-1.456554
405,High,-1.225934,0.854004,1.074548,1.320684,0.403441
406,Low,0.174117,-1.820982,-1.690591,-1.921539,-0.510469
407,Medium,-0.685352,1.030538,0.810634,0.924667,0.746651
408,Medium,-0.628089,0.383052,0.313564,-0.722295,1.180179
409,Low,-0.001875,-0.432171,-0.099173,-0.049652,-2.368770
410,Medium,0.277610,0.794768,0.237168,0.160349,0.157888
411,Low,0.386357,-0.689054,-1.591376,-1.151891,-0.148631
412,High,-2.256666,1.121444,1.092406,1.619696,1.140665
413,Low,0.510865,-1.148277,-0.778800,-0.853412,0.823422
414,Low,0.668994,-1.849720,-0.833368,-0.686584,-1.767588
415,Medium,-2.706889,0.396541,-0.003926,1.257791,-0.502001
416,Low,1.159669,0.823506,-0.492067,0.559031,-1.089636
417,Low,0.805585,-0.154174,-0.146796,-0.116810,0.914869
418,Low,1.090323,0.434663,0.999144,0.804210,0.099745
419,Medium,0.902249,0.920864,0.449489,0.654971,-0.478293
420,Low,0.961088,-1.384046,0.636015,0.602204,-1.039396
421,Low,0.811889,-0.197575,-0.541674,-1.417323,-1.452603
422,Medium,0.612257,0.511493,0.788807,0.157151,1.172841
423,Low,0.200384,-0.645067,-1.175662,0.170476,-1.291159
424,Low,0.857594,-1.064995,0.825516,0.087861,-0.583853
425,Medium,-0.143718,-1.240942,-0.251965,-1.138566,-0.693928
426,Low,0.129462,0.116785,-3.201645,-1.396003,0.975834
427,Low,0.259223,-1.303697,-1.076447,-1.804812,-0.109116
